code,name
10003,"Μέσο συγκράτησης, κοιλιακό, μιας χρήσεως"
10014,Τυποποιημένη συσκευασία βελονισμού
10024,Προσαρμοσίμετρο
10025,Αδενοτόμος
10033,Διαλυτική ουσία αφαίρεσης συγκολλητικής ταινίας
10035,"Συγκολλητικό, υπό μορφή αερολύματος, γενικής χρήσεως"
10051,Τυποποιημένη συσκευασία δειγματοληψίας αέρα περιβάλλοντος
10058,"Εξολκέας, απόφραξης αεραγωγού, λαβής"
10082,Αναμίκτης οδοντιατρικού αμαλγάματος
10089,"Αμνιωτόμος, επαναχρησιμοποιήσιμος"
10098,Ανοικτήρι αμπούλας
10153,"Μέσο συγκράτησης, αστραγάλου, μιας χρήσεως"
10156,"Ορθοσκόπιο, επαναχρησιμοποιήσιμο"
10164,Καρδιογράφος σφύξεων προκαρδίου
10171,Βάζο αποθήκευσης διαφόρων τύπων εφαρμογέων
10173,"Εφαρμογέας, αντισηπτικού"
10175,Μέσο εφαρμογής οφθαλμικής αγωγής
10176,"Μέσο εφαρμογής αγωγής, πρωκτοσκόπησης"
10177,Μέσο εφαρμογής τραχειακής αγωγής
10182,Λουτρό βραχίονα
10184,Σανίδα βραχίωνα
10190,"Προσομοιωτής, αρρυθμίας"
10200,"Όργανο άρθρωσης, χυτό"
10201,"Αρθρωτήρας, οδοντιατρικός"
10226,Ψεκαστήρας
10234,"Αιμοστατικός περίδεσμος, πνευματικός, με αυτόματη περιστροφή"
10243,Τυποποιημένη συσκευασία φροντίδας βρέφους
10266,Βαλιστοκραδιογράφημα
10279,"Επίδεσμος, ελαστικός, ενεργητικής υποστήριξης"
10281,"Λωρίδα, επιδέσμου γάζας"
10284,"Επίδεσμος, πίεσης"
10286,"Επίδεσμος, scultetus"
10289,"Επίδεσμος, έλκυσης"
10297,"Τροχήλατο, μέτρησης ενέργειας μεταβολισμού"
10298,Στατώ λεκάνης/νιπτήρα
10304,Μπότες λουτρού
10306,Μαξιλάρι λουτρού
10326,Σανίδα κλίνης
10335,Κάλυμμα σκωραμίδας
10336,Σχάρα σκωραμίδων
10338,Θερμαντής σκωραμίδων
10340,"Σκωραμίδα, κατάγματος"
10348,Κλίνη θεραπείας επίπλευσης
10363,"Κλίνη, κουνιστή"
10383,"Εργόμετρο, ποδήλατο"
10385,"Όργανο άσκησης, ποδήλατο"
10386,"Σάκκος, συλλογής χολής"
10396,Σύστημα βιο-ανάδρασης
10403,"Τυποποιημένη συσκευασία βιοψίας, υπερηχητικής αναρρόφησης"
10405,Στοματοδιαστολέας
10406,Τυποποιημένη συσκευασία έκπλυσης ουροδόχου κύστης
10408,"Δοχείο, λεπίδων"
10415,"Κουβέρτα, καθαριζόμενη σε πλυντήριο"
10416,Υποθερμική κουβέρτα ασθενούς
10417,Κουβέρτα βρέφους
10425,Διαγνωστικό σύνολο καλλιέργειας αίματος
10431,"Ροόμετρο αίματος, ηλεκτρομαγνητικό"
10432,"Ροόμετρο αίματος, υπερήχων"
10447,"Θερμαντήρας, αίματος / υγρών πριν από την έγχυση"
10455,Οστεοτόμος
10458,Οδηγός συρραπτικού οστού
10459,Κερί αιμόστασης οστών
10480,Στηθόδεσμος μητρότητας
10481,"Στηθόδεσμος, χειρουργικός"
10483,"Μέσο συγκράτησης, στήθους"
10484,Επίθεμα μαστού
10516,Τυποποιημένη συσκευασία αγωγής εγκαυμάτων
10520,"Κρανιακή φρέζα, επαναχρησιμοποιήσιμη"
10522,Φρέζα ποδιατρικής
10531,Ερμάριο παρά τη κλίνη
10532,Οδοντιατρικό ντουλάπι-εργαλειοθήκη
10535,Ερμάριο φαρμακείου
10540,Θάλαμος θέρμανσης
