id,code,name
hospital.gmdn_10003,10003,"Abdominal binder, single-use"
hospital.gmdn_10014,10014,Acupuncture kit
hospital.gmdn_10024,10024,Adaptometer
hospital.gmdn_10025,10025,Adenotome
hospital.gmdn_10033,10033,Adhesive tape remover
hospital.gmdn_10035,10035,"Adhesive, general-purpose aerosol"
hospital.gmdn_10051,10051,Environmental air sampling kit
hospital.gmdn_10058,10058,"Airway obstruction extractor, grasping"
hospital.gmdn_10082,10082,Dental amalgam mixer
hospital.gmdn_10089,10089,"Amniotome, reusable"
hospital.gmdn_10098,10098,Ampule opener
hospital.gmdn_10153,10153,"Ankle binder, single-use"
hospital.gmdn_10156,10156,"Anoscope, reusable"
hospital.gmdn_10164,10164,Apex cardiograph
hospital.gmdn_10171,10171,"Jar, applicators"
hospital.gmdn_10173,10173,"Applicator, antiseptic"
hospital.gmdn_10175,10175,Ophthalmic applicator
hospital.gmdn_10176,10176,Proctoscopic applicator
hospital.gmdn_10177,10177,Tracheal applicator
hospital.gmdn_10182,10182,Arm bath
hospital.gmdn_10184,10184,Arm board
hospital.gmdn_10190,10190,"Simulator, arrhythmia"
hospital.gmdn_10200,10200,"Articulator, cast"
hospital.gmdn_10201,10201,Dental articulator
hospital.gmdn_10226,10226,Atomizer
hospital.gmdn_10234,10234,"Tourniquet, pneumatic, automatic rotating"
hospital.gmdn_10243,10243,Infant care kit
hospital.gmdn_10266,10266,Ballistocardiograph
hospital.gmdn_10279,10279,"Bandage, elastic, active-support"
hospital.gmdn_10281,10281,"Gauze bandage, strip"
hospital.gmdn_10284,10284,Pressure bandage
hospital.gmdn_10286,10286,"Bandage, scultetus"
hospital.gmdn_10289,10289,Traction bandage
hospital.gmdn_10297,10297,Metabolic measurement trolley
hospital.gmdn_10298,10298,Bowl/basin stand
hospital.gmdn_10304,10304,Bath boots
hospital.gmdn_10306,10306,Bathing pillow
hospital.gmdn_10326,10326,Bed board
hospital.gmdn_10335,10335,Bedpan cover
hospital.gmdn_10336,10336,Bedpan rack
hospital.gmdn_10338,10338,Bedpan warmer
hospital.gmdn_10340,10340,"Bedpan, fracture"
hospital.gmdn_10348,10348,Flotation therapy bed
hospital.gmdn_10363,10363,"Bed, rocking"
hospital.gmdn_10383,10383,"Ergometer, bicycle"
hospital.gmdn_10385,10385,"Exerciser, bicycle"
hospital.gmdn_10386,10386,Bile collection bag
hospital.gmdn_10396,10396,Biofeedback system
hospital.gmdn_10403,10403,"Biopsy procedure kit, ultrasonic aspiration"
hospital.gmdn_10405,10405,Bite block
hospital.gmdn_10406,10406,Bladder irrigation kit
hospital.gmdn_10408,10408,"Jar, blades"
hospital.gmdn_10415,10415,"Blanket, laundered"
hospital.gmdn_10416,10416,Patient hypothermia blanket
hospital.gmdn_10417,10417,Infant blanket
hospital.gmdn_10425,10425,Blood culture kit
hospital.gmdn_10431,10431,"Blood flowmeter, electromagnetic"
hospital.gmdn_10432,10432,"Blood flowmeter, ultrasonic"
hospital.gmdn_10447,10447,Blood/fluid warmer
hospital.gmdn_10455,10455,Bone cutter
hospital.gmdn_10458,10458,Bone staple driver
hospital.gmdn_10459,10459,Bone wax
hospital.gmdn_10480,10480,Maternity brassiere
hospital.gmdn_10481,10481,"Brassiere, surgical"
hospital.gmdn_10483,10483,Breast binder
hospital.gmdn_10484,10484,Breast pad
hospital.gmdn_10516,10516,Burn kit
hospital.gmdn_10520,10520,"Cranial bur, reusable"
hospital.gmdn_10522,10522,Podiatric bur
hospital.gmdn_10531,10531,Bedside cabinet
hospital.gmdn_10532,10532,Dental cabinet
hospital.gmdn_10535,10535,Medicine cabinet
hospital.gmdn_10540,10540,Warming chamber
hospital.gmdn_10551,10551,Fundus camera
hospital.gmdn_10558,10558,Oscilloscope camera
hospital.gmdn_10574,10574,"Ophthalmic cannula, cyclodialysis"
hospital.gmdn_10575,10575,Lacrimal duct cannula
hospital.gmdn_10598,10598,Cardiac catheterization kit
hospital.gmdn_10614,10614,"Cardiac output unit, direct Fick"
hospital.gmdn_10615,10615,"Cardiac output unit, thermal dilution"
hospital.gmdn_10642,10642,Isolation room trolley
hospital.gmdn_10647,10647,"Resuscitation trolley, equipped"
hospital.gmdn_10667,10667,Cast boot
hospital.gmdn_10668,10668,Cast shoe
hospital.gmdn_10669,10669,Cast stockinette
hospital.gmdn_10671,10671,"Cast sock, toe"
hospital.gmdn_10672,10672,Cast walking heel
hospital.gmdn_10676,10676,Catheter care kit
hospital.gmdn_10678,10678,Catheter introducing sheath
hospital.gmdn_10688,10688,"Angiographic catheter, single-use"
hospital.gmdn_10689,10689,Arterial blood pressure catheter
hospital.gmdn_10691,10691,Intravascular microflow catheter
hospital.gmdn_10695,10695,"Catheter, Bartholin's gland"
hospital.gmdn_10696,10696,"Biliary catheter, drainage"
hospital.gmdn_10704,10704,"Catheter, cerebrospinal"
hospital.gmdn_10714,10714,Embolectomy/thrombectomy catheter
hospital.gmdn_10718,10718,"Eustachian catheter, single-use"
hospital.gmdn_10729,10729,Central venous catheter
hospital.gmdn_10730,10730,"Irrigation catheter, single lumen"
hospital.gmdn_10735,10735,Nephrostomy catheter
hospital.gmdn_10737,10737,"Ureteral catheter, dilating"
hospital.gmdn_10739,10739,Vascular perfusion catheter
hospital.gmdn_10741,10741,"Cardiac catheter, pericardium drainage"
hospital.gmdn_10747,10747,"Cardiac catheter, balloon, septostomy"
hospital.gmdn_10749,10749,"Catheter, suction, tracheal"
hospital.gmdn_10759,10759,Umbilical catheter
hospital.gmdn_10760,10760,Cardiac occluder delivery catheter
hospital.gmdn_10789,10789,Blood donor chair/couch
hospital.gmdn_10790,10790,"Cardiopulmonary rehabilitation chair, non-powered"
hospital.gmdn_10795,10795,Flotation therapy chair
hospital.gmdn_10796,10796,"Disability-assistive chair, electrically-powered"
hospital.gmdn_10797,10797,Paediatric chair
hospital.gmdn_10816,10816,Thoracic binder
hospital.gmdn_10817,10817,Pleural drainage system
hospital.gmdn_10825,10825,Orthopaedic chisel
hospital.gmdn_10827,10827,Mastoid chisel
hospital.gmdn_10828,10828,Nasal chisel
hospital.gmdn_10847,10847,"Circulatory assist system, ventricular"
hospital.gmdn_10849,10849,"Circulatory assist system, venous return"
hospital.gmdn_10869,10869,"Circumcision clamp, reusable"
hospital.gmdn_10872,10872,Patent ductus clamp
hospital.gmdn_10873,10873,Peripheral vasculature clamp
hospital.gmdn_10876,10876,"Umbilical cord clamp, reusable"
hospital.gmdn_10895,10895,Surgical clip remover
hospital.gmdn_10904,10904,Surgical instrument clip
hospital.gmdn_10906,10906,"Iris retractor, reusable"
hospital.gmdn_10907,10907,"Nose clip, single-use"
hospital.gmdn_10908,10908,Penile clip
hospital.gmdn_10943,10943,Sputum specimen collector
hospital.gmdn_10944,10944,Urine specimen container
hospital.gmdn_10960,10960,Colposcope
hospital.gmdn_10969,10969,"Compression system, intermittent"
hospital.gmdn_10980,10980,Cardiac catheterization laboratory computer
hospital.gmdn_10986,10986,"Apron, conductive"
hospital.gmdn_10995,10995,"Contact lens thermal cleaner, line-powered"
hospital.gmdn_11010,11010,"Infusion controller/monitor, gravitational, line-powered"
hospital.gmdn_11028,11028,Cotton ball
hospital.gmdn_11049,11049,Infant bed crib top
hospital.gmdn_11052,11052,"Cricothyrotome, single-use"
hospital.gmdn_11062,11062,Walking crutch pad
hospital.gmdn_11067,11067,"Cryosurgical unit, general-purpose"
hospital.gmdn_11068,11068,"Cryosurgical unit, ophthalmic"
hospital.gmdn_11090,11090,"Cubicle curtain, reusable"
hospital.gmdn_11095,11095,Foot cushion
hospital.gmdn_11100,11100,Wheelchair cushion
hospital.gmdn_11111,11111,Cystometer
hospital.gmdn_11130,11130,Defibrillator electrode pad
hospital.gmdn_11155,11155,"Rubber dam, latex"
hospital.gmdn_11158,11158,Dental floss
hospital.gmdn_11159,11159,"Dental filling material, gold"
