code,name
10000,Acquisition Devices
10003,"Binders, Abdominal"
10012,"Testers, Achilles Reflex"
10014,Acupuncture Kits
10024,Adaptometers
10025,Adenotomes
10026,Adhesive Strips
10028,"Adhesive Strips, Hypoallergenic"
10029,"Adhesive Strips, Waterproof"
10030,"Tapes, Adhesive"
10031,"Tapes, Adhesive, Hypoallergenic"
10032,"Tapes, Adhesive, Waterproof"
10033,Adhesive Tape Removers
10034,Adhesives
10035,"Adhesives, Aerosol"
10036,"Adhesives, Liquid"
10037,"Stools, Adjustable"
10045,"Aerators, Ethylene Oxide"
10046,Aerosol Generators
10051,Air Samplers
10053,Airways
10056,"Airways, Esophageal Obturating"
10057,"Airways, Nasopharyngeal"
10058,"Airway Obstruction Removal Devices, Emergency"
10059,"Airways, Oropharyngeal"
10077,"Alloys, Dental"
10082,Amalgamators
10085,Ambulances
10086,Ambulation Support Units
10088,Amnioscopes
10089,Amniotomes
10098,Ampule Openers
10123,Breathing Circuit Adapters
10124,Anesthesia Kits
10125,"Anesthesia Kits, Brachial Plexus"
10126,"Anesthesia Kits, Caudal"
10127,"Anesthesia Kits, Epidural"
10128,"Anesthesia Kits, Glossopharyngeal"
10129,"Anesthesia Kits, Paracervical"
10130,"Anesthesia Kits, Pudendal"
10131,"Anesthesia Kits, Spinal"
10134,Anesthesia Units
10139,"Breathing Circuits, Anesthesia"
10140,"Anesthesia Unit Absorbers, Carbon Dioxide"
10142,Anesthesia Unit Gas Scavengers
10144,Anesthesia Unit Vaporizers
10145,Anesthesia Unit Ventilators
10148,Anesthesimeters
10149,"Stools, Anesthetist's"
10152,Angiotomes
10153,"Binders, Ankle"
10155,Anklets
10156,Anoscopes
10164,Apex Cardiographs
10168,Applanometers
10171,"Jars, Applicator"
10172,Applicators
10173,"Applicators, Antiseptic"
10174,"Applicators, Clip"
10175,"Applicators, Eye"
10176,"Applicators, Proctoscopic"
10177,"Applicators, Tracheal"
10182,"Baths, Arm"
10183,"Covers, Arm Board"
10184,Arm Boards
10185,Arm Rests
10190,"Simulators, Arrhythmia"
10197,Arterioscopes
10198,Arthroscopes
10199,Articulators
10200,"Articulators, Cast"
10201,"Articulators, Dental"
10204,"Larynxes, Artificial"
10208,Aspirators
10211,"Canisters, Aspirator Collection"
10212,"Aspirators, Dental"
10214,"Aspirators, Infant"
10215,"Aspirators, Low-Volume"
10216,"Aspirators, Nasal"
10217,"Aspirators, Surgical"
10218,"Aspirators, Thoracic"
10219,"Aspirators, Tracheal"
10222,"Aspirators, Uterine"
10223,"Aspirators, Wound"
10224,Ataxiagraphs
10225,Atmocauteries
10226,Atomizers
10228,Audiometers
10229,Audiometric Booths
10234,"Tourniquets, Pneumatic, Automatic Rotating"
10239,Autotransfusion Units
10243,Baby Care Kits
10248,Backrests
10261,Balances
10263,"Balances, Electronic"
10264,"Balances, Mechanical"
10266,Ballistocardiographs
10274,Bandages
10276,"Bandages/Dressings, Adhesive"
10278,"Adhesive Strips, Butterfly"
10279,"Bandages, Elastic"
10281,"Bandages, Gauze"
10284,"Bandages, Pressure"
10286,"Bandages, Scultetus"
10288,"Bandages, Self-Adherent"
10289,"Bandages, Traction"
10291,"Bandages, Tubular"
10297,Metabolic Carts
10298,Basin Stands
10302,Bassinets
10304,Bath Boots
10306,"Pillows, Bath"
10316,"Bathtubs, Portable"
10326,Bed Boards
10328,Bed Cradles
10334,"Cleaners, Bedpan"
10335,"Covers, Bedpan"
10336,"Racks, Bedpan"
10338,"Warmers, Bedpan"
10339,Bedpans
10340,"Bedpans, Fracture"
10341,Bedrails
10342,Beds
10345,"Beds, Circle Electric"
10347,"Beds, Electric"
10348,"Beds, Flotation Therapy"
10351,"Beds, Fluoroscopic"
10353,"Beds, Hydraulic"
10356,"Beds, Labor"
10357,"Beds, Mechanical"
10360,"Beds, Orthopedic"
10362,"Beds, Pediatric"
10363,"Beds, Rocking"
10368,"Stools, Bedside"
10369,Behavioral Therapy Units
10382,Bibs
10383,"Ergometers, Bicycle"
10385,"Exercisers, Bicycle"
10386,Bile Collection Bags
10396,Biofeedback Systems
10397,Biological Monitoring Systems
10401,Biopsy Kits
10403,"Biopsy Kits, Ultrasonic Aspiration"
10405,Bite Blocks
10406,"Irrigation Kits, Bladder"
10408,"Jars, Blade"
10414,"Warmers, Blanket"
10415,Blankets
10416,"Blankets, Aluminized Rescue"
10417,"Blankets, Infant"
10421,Blood Administration Sets
10425,Blood Culture Kits
10426,Blood Donor Sets
10429,"Blood-Flow Detectors, Ultrasonic"
10430,"Flowmeters, Blood"
10431,"Flowmeters, Blood, Electromagnetic"
10432,"Flowmeters, Blood, Ultrasonic"
10438,"Sampling Kits, Blood Gas"
10440,"Lancets, Blood"
10446,"Sampling Kits, Blood"
10447,"Warmers, Blood/Solution"
10455,"Cutters, Bone"
10456,"Blades, Bone Cutting"
10458,"Drivers, Bone Staple"
10459,Bone Wax
10479,Brassieres
10480,"Brassieres, Maternity"
10481,"Brassieres, Surgical"
10483,"Binders, Breast"
10484,Breast Pads
