id,code,name
hospital.umdns_10000,10000,Acquisition Devices
hospital.umdns_10003,10003,"Binders, Abdominal"
hospital.umdns_10012,10012,"Testers, Achilles Reflex"
hospital.umdns_10014,10014,Acupuncture Kits
hospital.umdns_10024,10024,Adaptometers
hospital.umdns_10025,10025,Adenotomes
hospital.umdns_10026,10026,Adhesive Strips
hospital.umdns_10028,10028,"Adhesive Strips, Hypoallergenic"
hospital.umdns_10029,10029,"Adhesive Strips, Waterproof"
hospital.umdns_10030,10030,"Tapes, Adhesive"
hospital.umdns_10031,10031,"Tapes, Adhesive, Hypoallergenic"
hospital.umdns_10032,10032,"Tapes, Adhesive, Waterproof"
hospital.umdns_10033,10033,Adhesive Tape Removers
hospital.umdns_10034,10034,Adhesives
hospital.umdns_10035,10035,"Adhesives, Aerosol"
hospital.umdns_10036,10036,"Adhesives, Liquid"
hospital.umdns_10037,10037,"Stools, Adjustable"
hospital.umdns_10045,10045,"Aerators, Ethylene Oxide"
hospital.umdns_10046,10046,Aerosol Generators
hospital.umdns_10051,10051,Air Samplers
hospital.umdns_10053,10053,Airways
hospital.umdns_10056,10056,"Airways, Esophageal Obturating"
hospital.umdns_10057,10057,"Airways, Nasopharyngeal"
hospital.umdns_10058,10058,"Airway Obstruction Removal Devices, Emergency"
hospital.umdns_10059,10059,"Airways, Oropharyngeal"
hospital.umdns_10077,10077,"Alloys, Dental"
hospital.umdns_10082,10082,Amalgamators
hospital.umdns_10085,10085,Ambulances
hospital.umdns_10086,10086,Ambulation Support Units
hospital.umdns_10088,10088,Amnioscopes
hospital.umdns_10089,10089,Amniotomes
hospital.umdns_10098,10098,Ampule Openers
hospital.umdns_10123,10123,Breathing Circuit Adapters
hospital.umdns_10124,10124,Anesthesia Kits
hospital.umdns_10125,10125,"Anesthesia Kits, Brachial Plexus"
hospital.umdns_10126,10126,"Anesthesia Kits, Caudal"
hospital.umdns_10127,10127,"Anesthesia Kits, Epidural"
hospital.umdns_10128,10128,"Anesthesia Kits, Glossopharyngeal"
hospital.umdns_10129,10129,"Anesthesia Kits, Paracervical"
hospital.umdns_10130,10130,"Anesthesia Kits, Pudendal"
hospital.umdns_10131,10131,"Anesthesia Kits, Spinal"
hospital.umdns_10134,10134,Anesthesia Units
hospital.umdns_10139,10139,"Breathing Circuits, Anesthesia"
hospital.umdns_10140,10140,"Anesthesia Unit Absorbers, Carbon Dioxide"
hospital.umdns_10142,10142,Anesthesia Unit Gas Scavengers
hospital.umdns_10144,10144,Anesthesia Unit Vaporizers
hospital.umdns_10145,10145,Anesthesia Unit Ventilators
hospital.umdns_10148,10148,Anesthesimeters
hospital.umdns_10149,10149,"Stools, Anesthetist's"
hospital.umdns_10152,10152,Angiotomes
hospital.umdns_10153,10153,"Binders, Ankle"
hospital.umdns_10155,10155,Anklets
hospital.umdns_10156,10156,Anoscopes
hospital.umdns_10164,10164,Apex Cardiographs
hospital.umdns_10168,10168,Applanometers
hospital.umdns_10171,10171,"Jars, Applicator"
hospital.umdns_10172,10172,Applicators
hospital.umdns_10173,10173,"Applicators, Antiseptic"
hospital.umdns_10174,10174,"Applicators, Clip"
hospital.umdns_10175,10175,"Applicators, Eye"
hospital.umdns_10176,10176,"Applicators, Proctoscopic"
hospital.umdns_10177,10177,"Applicators, Tracheal"
hospital.umdns_10182,10182,"Baths, Arm"
hospital.umdns_10183,10183,"Covers, Arm Board"
hospital.umdns_10184,10184,Arm Boards
hospital.umdns_10185,10185,Arm Rests
hospital.umdns_10190,10190,"Simulators, Arrhythmia"
hospital.umdns_10197,10197,Arterioscopes
hospital.umdns_10198,10198,Arthroscopes
hospital.umdns_10199,10199,Articulators
hospital.umdns_10200,10200,"Articulators, Cast"
hospital.umdns_10201,10201,"Articulators, Dental"
hospital.umdns_10204,10204,"Larynxes, Artificial"
hospital.umdns_10208,10208,Aspirators
hospital.umdns_10211,10211,"Canisters, Aspirator Collection"
hospital.umdns_10212,10212,"Aspirators, Dental"
hospital.umdns_10214,10214,"Aspirators, Infant"
hospital.umdns_10215,10215,"Aspirators, Low-Volume"
